Avión,Tiempo total (ms),Observaciones
Avión 19,730,1°
Avión 15,829,2°
Avión 12,844,3°
Avión 3,946,4°
Avión 20,1037,5°
Avión 6,1351,6°
Avión 2,1452,7°
Avión 7,1458,8°
Avión 5,1558,9°
Avión 9,1567,10°
Avión 16,1953,11°
Avión 17,2057,12°
Avión 10,2077,13°
Avión 4,2169,14°
Avión 14,2279,15°
Avión 8,2572,16°
Avión 1,2590,17°
Avión 13,2666,18°
Avión 18,2790,19°
Avión 11,2900,20°
